id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
1154,uložit,гл.,сов.,,A2,Технологии и медиа,сохранить,зберегти,to save,,,,Ulož ten soubor.,Сохрани этот файл.,Збережи цей файл.,Zapomněl jsem to uložit.,Я забыл это сохранить.,Я забув це зберегти.
1155,benzín,сущ.,м.р.,benzínu,A2,Транспорт,бензин,бензин,petrol; gas,,petrol,https://loremflickr.com/640/480/petrol,Musím natankovat benzín.,Мне нужно заправиться бензином.,Мені треба заправитися бензином.,Benzín zdražil.,Бензин подорожал.,Бензин подорожчав.
1156,doprava,сущ.,ж.р.,dopravy,A2,Транспорт,транспорт; движение,транспорт; рух,transport; traffic,,traffic,https://loremflickr.com/640/480/traffic,V Praze je dobrá doprava.,В Праге хороший транспорт.,У Празі гарний транспорт.,Ráno je hustá doprava.,Утром плотное движение.,Уранці щільний рух.
1157,jízdní řád,сущ.,м.р.,jízdního řádu,A2,Транспорт,расписание,розклад руху,timetable,,timetable,https://loremflickr.com/640/480/timetable,Podívej se do jízdního řádu.,Посмотри в расписание.,Подивись у розклад.,Jízdní řád se změnil.,Расписание изменилось.,Розклад змінився.
1158,koloběžka,сущ.,ж.р.,koloběžky,A2,Транспорт,самокат,самокат,scooter,,scooter,https://loremflickr.com/640/480/scooter,Jezdím na koloběžce.,Я езжу на самокате.,Я їжджу на самокаті.,Koloběžka je rychlejší než chůze.,Самокат быстрее ходьбы.,Самокат швидший за ходьбу.
1159,loď,сущ.,ж.р.,lodi,A2,Транспорт,корабль; лодка,корабель; човен,ship; boat,,ship,https://loremflickr.com/640/480/ship,Jeli jsme lodí po Vltavě.,Мы плыли на лодке по Влтаве.,Ми пливли човном по Влтаві.,Loď odplouvá v poledne.,Корабль отплывает в полдень.,Корабель відпливає опівдні.
1160,motorka,сущ.,ж.р.,motorky,A2,Транспорт,мотоцикл,мотоцикл,motorbike,,motorbike,https://loremflickr.com/640/480/motorbike,Jezdí na motorce.,Он ездит на мотоцикле.,Він їздить на мотоциклі.,Motorka je v garáži.,Мотоцикл в гараже.,Мотоцикл у гаражі.
1161,odjezd,сущ.,м.р.,odjezdu,A2,Транспорт,отправление; отъезд,відправлення,departure,,departure,https://loremflickr.com/640/480/departure,Kdy je odjezd vlaku?,Когда отправление поезда?,Коли відправлення потяга?,Odjezd je v osm třicet.,Отправление в восемь тридцать.,Відправлення о восьмій тридцять.
1162,parkovat,гл.,несов.,,A2,Транспорт,парковаться,паркуватися,to park,,parking,https://loremflickr.com/640/480/parking,Kde můžu parkovat?,Где можно парковаться?,Де можна паркуватися?,Tady se nesmí parkovat.,Здесь нельзя парковаться.,Тут не можна паркуватися.
1163,parkoviště,сущ.,ср.р.,parkoviště,A2,Транспорт,парковка,парковка,car park; parking lot,,parkinglot,https://loremflickr.com/640/480/parkinglot,Parkoviště je plné.,Парковка заполнена.,Парковка заповнена.,Auto nechám na parkovišti.,Машину оставлю на парковке.,Машину залишу на парковці.
1164,přestoupit,гл.,сов.,,A2,Транспорт,пересесть,пересісти,to change (transport),,,,Musíš přestoupit na Můstku.,Тебе нужно пересесть на Мустеке.,Тобі треба пересісти на Мустеку.,Přestoupil jsem na metro.,Я пересел на метро.,Я пересів на метро.
1165,příjezd,сущ.,м.р.,příjezdu,A2,Транспорт,прибытие; приезд,прибуття,arrival,,arrival,https://loremflickr.com/640/480/arrival,Kdy je příjezd do Brna?,Когда прибытие в Брно?,Коли прибуття до Брна?,Po příjezdu mi zavolej.,После приезда позвони мне.,Після приїзду зателефонуй мені.
1166,řidič,сущ.,м.р.,řidiče,A2,Транспорт,водитель,водій,driver,,driver,https://loremflickr.com/640/480/driver,Řidič autobusu byl milý.,Водитель автобуса был приветливый.,Водій автобуса був привітний.,Hledáme řidiče.,Мы ищем водителя.,Ми шукаємо водія.
1167,řídit,гл.,несов.,,A2,Транспорт,водить; управлять,керувати,to drive; to manage,,driving,https://loremflickr.com/640/480/driving,Řídím auto každý den.,Я вожу машину каждый день.,Я кермую машиною щодня.,Neumím řídit.,Я не умею водить.,Я не вмію кермувати.
1168,Nefunguje mi karta,фраза,,,A2,Фразы: банк,У меня не работает карта,У мене не працює картка,,,,,Nefunguje mi karta.,У меня не работает карта.,У мене не працює картка.,Nefunguje mi karta v bankomatu.,У меня не работает карта в банкомате.,У мене не працює картка в банкоматі.
1169,Jak dlouho to bude trvat?,фраза,,,A2,Фразы: госучреждения,Сколько это займёт времени?,Скільки це триватиме?,,,,,Jak dlouho to bude trvat?,Сколько это займёт времени?,Скільки це триватиме?,Jak dlouho bude trvat vyřízení?,Сколько времени займёт оформление?,Скільки часу триватиме оформлення?
1170,Můžete mi to prosím vysvětlit?,фраза,,,A2,Фразы: госучреждения,Можете мне это объяснить?,Можете мені це пояснити?,,,,,Můžete mi to prosím vysvětlit?,"Можете мне это объяснить, пожалуйста?","Можете мені це пояснити, будь ласка?",Můžete mi to vysvětlit pomaleji?,Можете объяснить мне это медленнее?,Можете пояснити мені це повільніше?
1171,Jsem tu dva roky,фраза,,,A2,Фразы: знакомство,Я здесь два года,Я тут два роки,,,,,Jsem tu dva roky.,Я здесь два года.,Я тут два роки.,Jsem tu dva roky a učím se česky.,Я здесь два года и учу чешский.,Я тут два роки і вчу чеську.
1172,Máte děti?,фраза,,,A2,Фразы: знакомство,У вас есть дети?,У вас є діти?,,,,,Máte děti?,У вас есть дети?,У вас є діти?,"Máte děti? Ano, dvě.","У вас есть дети? Да, двое.","У вас є діти? Так, двоє."
1173,"Těší mě, že vás poznávám",фраза,,,A2,Фразы: знакомство,Рад с вами познакомиться,Радий з вами познайомитися,,,,,"Těší mě, že vás poznávám.",Рад с вами познакомиться.,Радий з вами познайомитися.,"Těší mě, že vás poznávám, jsem Anna.","Рада с вами познакомиться, я Анна.","Рада з вами познайомитися, я Анна."
